school,salary
UT,71410.9306155173
UT,73517.47882841986
UT,70892.20705736658
UT,74159.02405679261
UT,73057.5375073089
UT,71871.03190146449
UT,73543.51296751616
UT,73002.89246065798
UT,73536.50338122682
UT,72249.74344868053
UT,73659.99811178092
UT,72634.70829426496
UT,73161.72847322428
UT,73478.25635236713
UT,73894.85608909324
UT,72919.41793570094
UT,72507.7181912639
UT,73827.30705656942
UT,73473.37225955319
UT,72651.03961440286
UT,73349.11978877342
UT,72045.96329529872
UT,74710.43005684964
UT,72169.56156752109
UT,73763.24216009155
UT,73694.32805919758
UT,71688.85458621639
UT,71207.93500810547
UT,71949.42411947159
UT,71658.79930271639
UT,72556.15453290565
UT,73776.05706044749
UT,75341.95992309132
UT,74843.24622571233
UT,72425.54382303824
UT,73050.90058147063
UT,73161.57170598471
UT,72999.32192699789
UT,75061.39640049716
UT,73868.49131377523
UT,71443.827200728
UT,73596.40815846685
UT,73876.45809210654
UT,73849.44923516718
UT,72531.31225687244
UT,71621.1603095969
UT,72814.81197028507
UT,72585.27074447047
UT,73689.9920214427
UT,73598.66495376019
UT,73657.31217135815
UT,73177.83908428413
UT,73377.382329479093
UT,73869.68338676765
UT,71775.20389985907
UT,73174.81700274987
UT,72791.26368721273
UT,71946.45837922386
UT,72358.34402550502
UT,74470.11928023947
UT,72667.30938289569
UT,71640.17057519738
UT,72255.65743715003
UT,72706.70066568507
UT,72545.06019446619
UT,73042.23157175125
UT,72244.78454654517
UT,72196.11887486809
UT,71541.5546422289
UT,73759.759058731
UT,72599.54064511547
UT,73550.64585835184
UT,73078.48379635232
UT,73614.39331456061
UT,73145.51850131727
UT,72861.95944409168
UT,72955.55634806541
UT,71668.00380411082
UT,73290.7440969976
UT,73761.1500536993
UT,71427.63089839951
UT,73219.89123122196
UT,73800.16794154001
UT,73984.32741853839
UT,74966.96441872838
UT,72502.64363303158
UT,73736.14320444218
UT,71659.84856519451
UT,73733.5734164407
UT,73253.1311442571
UT,73444.45431445896
UT,73073.77187780937
UT,72178.46748897039
