id,word,color,condition,reaction_time
1,red,red,congruent,388.6559075697678
1,red,red,congruent,385.07246676649964
1,red,red,congruent,398.62274415524126
1,green,green,congruent,397.3597884503634
1,green,green,congruent,393.5852891822414
1,green,green,congruent,409.69236501522715
1,blue,blue,congruent,387.03997909104146
1,blue,blue,congruent,390.9037999332295
1,blue,blue,congruent,389.2524386448665
1,yellow,yellow,congruent,395.66173807911605
1,yellow,yellow,congruent,406.2841665886456
1,yellow,yellow,congruent,416.8009385819711
1,red,green,incongruent,418.65839265546293
1,red,blue,incongruent,405.80504144723915
1,red,yellow,incongruent,421.5651666075959
1,green,red,incongruent,425.63617583761766
1,green,blue,incongruent,432.042308655845
1,green,yellow,incongruent,402.6503564808312
1,blue,red,incongruent,417.94193152015663
1,blue,green,incongruent,414.39912165322323
1,blue,yellow,incongruent,421.86739800597684
1,yellow,red,incongruent,438.68526263516986
1,yellow,green,incongruent,443.22644627238424
1,yellow,blue,incongruent,410.6160384197841
2,red,red,congruent,401.42314490234867
2,red,red,congruent,408.92853767063286
2,red,red,congruent,419.44576611030914
2,green,green,congruent,387.95972875943517
2,green,green,congruent,419.877415195377
2,green,green,congruent,398.6711057462935
2,blue,blue,congruent,404.32753204930947
2,blue,blue,congruent,425.2813964736937
2,blue,blue,congruent,399.88830120680194
2,yellow,yellow,congruent,392.06656921568
2,yellow,yellow,congruent,398.9277998347187
2,yellow,yellow,congruent,415.83709221601976
2,red,green,incongruent,397.62020897530124
2,red,blue,incongruent,437.2823635405517
2,red,yellow,incongruent,420.1975187178591
2,green,red,incongruent,428.30022248999023
2,green,blue,incongruent,441.9872735301486
2,green,yellow,incongruent,403.9996462128815
2,blue,red,incongruent,408.79126750327526
2,blue,green,incongruent,405.32955211046436
2,blue,yellow,incongruent,428.19960702565356
2,yellow,red,incongruent,400.8099945087828
2,yellow,green,incongruent,411.865765753304
2,yellow,blue,incongruent,414.10769483099256
3,red,red,congruent,416.19069022754496
3,red,red,congruent,409.9196972129033
3,red,red,congruent,388.2479956392485
3,green,green,congruent,392.300750526414
3,green,green,congruent,382.78952907555276
3,green,green,congruent,381.81276516548587
